ScientificName,CommonName,Lmax,TL,Habitat,MeanCatch
Seriola lalandi,Yellowtail amberjack,164,4.07,DemLg,821.362069
Megalaspis cordyla,Torpedo scad,69,4.39,Pelagic,36029.2069
Chloroscombrus chrysurus,Atlantic bumper,53,3.21,Pelagic,6644.801724
Parona signata,Parona leatherjacket,49,3.4,DemMed,875.137931
Selar crumenophthalmus,Bigeye scad,60,3.89,Pelagic,50209.48276
Selaroides leptolepis,Yellowstripe scad,16,3.53,Pelagic,77112.87931
Brama brama,Atlantic pomfret,82,4.08,Pelagic,7209.413793
Arripis georgianus,Australian ruff,57,4.31,Pelagic,1100.827586
Dicentrarchus punctatus,Spotted seabass,57,3.94,Pelagic,405.75
Emmelichthys nitidus,Redbait,33,3.61,DemMed,977.6724138
Nemipterus virgatus,Golden threadfin bream,35,3.99,DemMed,4874.896552
Isacia conceptionis,Cabinza grunt,49,2.91,DemMed,2176.741379
Plectorhinchus mediterraneus,Rubberlip grunt,80,3.49,DemMed,1751.646552
Pomadasys argenteus,Silver grunt,43,3.42,DemMed,978.1077586
Brachydeuterus auritus,Bigeye grunt,25,3.03,DemSm,19288.02155
Conodon nobilis,Barred grunt,28,3.05,DemMed,1676.241379
Cynoscion analis,Peruvian weakfish,37,4.15,DemMed,3638.12069
Cynoscion nebulosus,Spotted weakfish,75,3.98,DemLg,3351.573276
Cynoscion regalis,Gray weakfish,75,3.77,DemLg,4663
Cynoscion striatus,South American striped weakfish,49,3.9,DemMed,13425.58621
Micropogonias undulatus,Atlantic croaker,41,3.31,DemMed,7713.258621
Menticirrhus littoralis,Gulf kingcroaker,38,3.29,DemMed,1307.689655
Elagatis bipinnulata,Rainbow runner,148,3.59,Pelagic,7873.547414
Umbrina canosai,Argentine croaker,30,3.16,DemMed,7825.758621
Larimichthys polyactis,Yellow croaker,40,3.57,DemMed,121018.1207
Macrodon ancylodon,King weakfish,37,4.01,DemMed,1645.577586
Argyrosomus regius,Meagre,200,4.05,DemLg,3100.810345
Argyrosomus hololepidotus,Southern meagre,164,3.82,DemLg,2117.646552
Atractoscion aequidens,Geelbeck croaker,107,3.89,DemLg,252.9051724
Genyonemus lineatus,White croaker,34,3.43,DemMed,217.6206897
Pteroscion peli,Boe drum,26,3.56,DemMed,1173.564655
Paralonchurus peruanus,Peruvian banded croaker,37,2.49,DemMed,4350.310345
Pogonias cromis,Black drum,139,3.89,DemLg,2339.625
Epinephelus aeneus,White grouper,98,4.02,DemLg,852.7974138
Nibea mitsukurii,Nibe croaker,75,3.5,DemMed,2057.982759
